GOLD weekly prices,,,,,,
,,,,,,
Param,Value,,,,,
length,13,,,,,
,,,,,,
,,,,,,
Date,Open,High,Low,Close,Volume,MMA
5/01/1979,229.35,229.7,219.5,224.8,121888889,224.8
12/01/1979,225.7,228,217.5,219.4,150522222,224.384615384615
19/01/1979,220.15,237.5,216.6,237,152477778,225.355029585799
26/01/1979,237.5,243.2,234,240.2,168800000,226.496950386891
2/02/1979,240.25,243.5,232,242.5,149655556,227.727954203284
9/02/1979,242.55,257.55,240,247.3,140211111,229.233496187647
16/02/1979,248,253.3,240.5,250.6,133288889,230.877073403982
23/02/1979,251,258.8,248.5,255.7,107888889,232.786529295983
2/03/1979,255.85,257,242,243.2,140155556,233.587565503985
9/03/1979,243.65,246.9,235,245.9,160577777,234.534675849832
16/03/1979,246.8,250.1,242,248,158533333,235.570470015229
23/03/1979,248.1,249,243.5,246.4,178744445,236.403510783289
30/03/1979,247.3,252,241,243.8,171966667,236.972471492267
6/04/1979,244,246,241.3,244.3,192988890,237.536127531323
13/04/1979,245.25,245.25,234.9,235.6,132011112,237.387194644298
20/04/1979,236.15,244.3,231.8,239,163111111,237.511256594737
27/04/1979,239.65,248.8,237.8,248.5,172122223,238.356544548988
4/05/1979,248.55,251.5,246.2,250.3,166100000,239.275271891373
11/05/1979,250.65,255.3,246.1,249.8,155677778,240.084866361268
18/05/1979,250.1,274.9,250.1,274.4,149033332,242.724492025786
25/05/1979,275.4,281.5,267.5,275.3,155400001,245.230300331494
1/06/1979,275.85,282,269.5,276.9,123500000,247.666431075226
8/06/1979,277.8,294.75,275.3,284.6,193077778,250.50747483867
15/06/1979,285.25,286.7,278.4,283.1,214500001,253.014592158772
22/06/1979,283.9,287.5,279.5,284.6,187155555,255.44423891579
29/06/1979,285.35,288.6,275.5,283.8,195433332,257.625451306883
6/07/1979,284.55,303.5,282.3,301.4,147322223,260.992724283276
13/07/1979,301.55,304.5,297,301.4,204111111,264.100976261486
20/07/1979,302.35,315,302.35,313.7,166644445,267.916285779833
27/07/1979,314.05,319.5,314.05,317.3,168300000,271.715033027538
3/08/1979,317.5,317.5,293,295.8,183833333,273.567722794651
10/08/1979,296.4,314.5,288,312.7,209933334,276.577897964293
17/08/1979,313.2,313.2,298.5,307.3,230722222,278.941136582424
24/08/1979,307.95,326,305.3,320.7,197833334,282.153356845315
31/08/1979,320.95,330,320.95,326.7,164400000,285.580021703367
7/09/1979,327.05,348,327.05,346.3,155211112,290.250789264647
14/09/1979,347.05,359.2,340,354.4,213422222,295.185343936597
21/09/1979,355.3,396.8,355.3,384.2,232455556,302.032625172244
28/09/1979,384.3,409,377.5,404.5,192177777,309.914730928225
5/10/1979,405.15,444.5,379,393,207566667,316.305905472208
12/10/1979,393.65,424.5,373,404,281899999,323.051605051269
19/10/1979,404.15,413,377,400,189211110,328.970712355017
26/10/1979,400.6,405.5,375,377.7,186366668,332.719119096939
2/11/1979,377.85,389,365,378.5,143266667,336.240725320251
9/11/1979,379.5,403.5,379.5,391.2,143988889,340.468361834078
16/11/1979,391.85,414.4,385,410.9,165877778,345.886180154534
23/11/1979,411.1,416.5,388.3,415.7,142688889,351.2564739888
30/11/1979,416.3,432.8,400,430.5,218666668,357.352129835816
7/12/1979,430.95,447.8,430.95,436,201911112,363.401966002292
14/12/1979,436.4,478,436.4,474.5,201722223,371.9479686175
21/12/1979,474.65,500.3,467,495.5,228288889,381.451971031538
28/12/1979,495.9,530,495.8,525,122166667,392.494127106036
4/01/1980,525.95,626.5,525.95,611,179722222,409.302271174802
11/01/1980,611,636,597,628,302244444,426.125173392125
18/01/1980,628.35,854.8,628.35,845,304744444,458.346313900423
25/01/1980,845.6,910.6,661,661,283955555,473.935058985006
1/02/1980,661.9,726,625,704,303088889,491.632362140006
8/02/1980,704.95,728,673,717.5,280500000,509.006795821544
15/02/1980,718.35,742.5,673,680.5,299111112,522.198580758348
22/02/1980,681.4,683,630.5,641.5,203955557,531.375613007706
29/02/1980,641.6,666.5,617,640,227455555,539.731335084036
7/03/1980,640.65,660,599,605,258666666,544.752001616033
14/03/1980,605.7,605.7,516,530,212599999,543.617232260954
21/03/1980,530.95,569,463,565,206311111,545.262060548573
28/03/1980,565.8,572,453,525,256433334,543.703440506375
4/04/1980,525.4,530,483,501.5,145833333,540.457022005885
11/04/1980,502.35,570,502,544,175277778,540.729558774663
18/04/1980,544.3,547,501,520,165677777,539.134977330458
25/04/1980,520.9,563,495,547,202755556,539.739979074269
2/05/1980,547.8,547.8,482,516,166566667,537.913826837787
9/05/1980,516.75,524.5,504.5,515.7,207122221,536.205070927188
16/05/1980,516.05,530,509,514.8,197055556,534.558527009712
23/05/1980,515.25,517,495,510,204922222,532.669409547426
30/05/1980,510.8,562.5,510.8,555,173566667,534.387147274548
6/06/1980,555.2,617.5,555.2,616,218155555,540.665059022659
13/06/1980,616.4,640,593,613,235366667,546.229285251686
20/06/1980,613.75,617,597,609.5,216611111,551.096263309248
27/06/1980,609.8,658,602,657.5,218477778,559.281166131614
4/07/1980,658.35,680.5,651,676,171588889,568.259537967644
11/07/1980,676.25,696,653,670.5,247133334,576.124188893209
18/07/1980,670.85,670.85,604,614,291611112,579.037712824501
25/07/1980,614.5,680,609,678,243933333,586.650196453386
1/08/1980,678.6,678.6,625,640,265866667,590.754027495433
8/08/1980,640.65,657.5,640.65,647,280877779,595.080640765015
15/08/1980,647.35,648,620,635,262855556,598.151360706168
22/08/1980,635.9,679.5,622.5,658,261511111,602.755102190309
29/08/1980,658.3,658.3,641.5,656,216111110,606.850863560285
5/09/1980,656.35,678,654.8,670,205200000,611.708489440263
12/09/1980,670.15,720,670.15,704,255433332,618.807836406397
19/09/1980,704.45,709,680,708,314533334,625.668772067443
26/09/1980,708.7,748.5,703.5,703.5,303733333,631.655789600717
3/10/1980,703.55,703.55,669,684.5,254544445,635.7207288622
10/10/1980,685.15,708.5,685.15,700,261155556,640.665288180492
17/10/1980,700.45,700.45,661,665,264244444,642.537189089685
24/10/1980,665.25,673.5,634,639,250488889,642.265097621248
31/10/1980,639.55,652.5,627,642,212333334,642.244705496537
7/11/1980,642.85,665,593,607,232066666,639.533574304496
14/11/1980,607.35,626.5,594,621,307455555,638.107914742611
21/11/1980,621.75,649.5,610,638.5,340000000,638.138075147026
28/11/1980,638.95,659.5,628,644.5,218377777,638.62745398187
5/12/1980,645.05,657,627,638,274566668,638.579188290957
12/12/1980,638.05,638.05,558,587,284688888,634.611558422422
19/12/1980,587.05,608,562.5,607.5,280522222,632.52605392839
26/12/1980,608.35,619,597.5,617,169811111,631.331742087744
2/01/1981,617.85,617.85,586,594.5,162100001,628.498531157918
9/01/1981,594.9,612,570,581,360600006,624.844797991924
16/01/1981,581.6,581.6,555,567.5,237711111,620.433659684853
23/01/1981,568.2,581,548,552.5,216122222,615.207993555249
30/01/1981,552.75,552.75,498,512.5,215177778,607.307378666384
6/02/1981,513.2,521,490,514,251866668,600.129887999739
13/02/1981,514.4,530.5,490,501,205533335,592.504511999759
20/02/1981,501.6,522,498,514.5,179866668,586.504164922855
27/02/1981,514.75,514.75,485,486.5,269744444,578.811536851866
6/03/1981,487.45,487.45,453,467,258911110,570.210649401722
13/03/1981,467.7,497.3,467.7,488.5,303455556,563.925214832359
20/03/1981,489.5,537,489.5,537,328911111,561.854044460639
27/03/1981,537.8,568,519.5,542.5,319888889,560.365271809821
3/04/1981,543.45,543.45,515,532.5,267344444,558.221789362911
10/04/1981,532.65,545.5,494,496,281533333,553.435497873457
17/04/1981,496.25,498,476,495.5,230222222,548.97892111396
